,gender,bio,interests,anthem,birth_sign,pets,smoker,bio_length
0,1,Instagram- leonor_ortizzz,"['Coffee', 'Activism', 'Foodie', 'Music', 'Movies']",,,,,27
1,1,"lover of avocados, coconuts, and one too many pizza slices","['Fashion', 'Karaoke', 'Museum', 'Brunch', 'Volunteering']","OPEN A WINDOW (feat. Tyler, The Creator)",Aries,,,60
2,1,mommy issue haver costco hotdog enthusiast good music devotee,"['Foodie', 'Music', 'Karaoke', 'Dog lover', 'Comedy']",Fair Trade (with Travis Scott),Libra,Dog,Social smoker,63
3,1,Follow my new insta page: angelisse_req Im 18 I dont know why its says 20,"['Foodie', 'Tattoos', 'Sports', 'Astrology', 'Spirituality']",,,,,75
4,1,"they/she. from bushwick, and 420 friendly. :) can we just makeout ? (the last photo is just really fun to me.)","['Photography', 'Black Lives Matter', 'Movies', 'Music', 'Cat lover']",Wolfcat,Scorpio,Cat,,112
5,1,Dont know what to put here .. Ask me anything,"['Picnicking', 'Fashion', 'Road Trips', 'Music', 'Spirituality']",Kiss Me More (feat. SZA),,,,47
6,1,howdy i delete this app a lot so if i disappear you can message me on ig @youareasceptic (thats a quote from my favorite book heheh),"['Writer', 'Reading', 'Gamer', 'Fashion', 'Spirituality']",Industry Plant,Pisces,Reptile,Non-smoker,134
7,1,,"['Sports', 'Dog lover', 'Athlete', 'Working out', 'Movies']",,,,,2
8,1,":) ig: katy.wsl bin hier nicht so aktiv. kranke 1,75m Rick&Morty","['Gin Tonic', 'Sushi', 'Movies', 'Working out', 'Cooking']",The Cure,Gemini,,Non-smoker,66
9,1,dm me on instagram: torineomi,"['Travel', 'Tattoos', 'Fashion', 'Art', 'Second-hand apparel']",L$D,,,,31
10,1,Two truths and a lie: 1) Cardi B called me sexy once 2) I ran 7 marathons 3) Ive written 2 New York Times bestselling books,"['Movies', 'Dancing', 'Dog lover', 'Board Games', 'Tea']",,,,,125
11,1,,"['Walking', 'Travel', 'Movies', 'Coffee', 'Netflix']","thank u, next",Aquarius,Pet-free,Non-smoker,2
12,1,can you guess what i was for halloween?,"['Walking', 'Foodie', 'Reading']",Tamagotchi,,,,41
13,1,Nj Im just tryna just vibe,"['Music', 'Disney', 'Comedy', 'Movies', 'LGBTQ+ Rights']",Over,Aries,Dog,Smoker,28
14,1,Who wants to go to Dover Street Market w me? Main Insta: @yannah._ Art Insta: @bernelli.designs Lmk what you think?,"['Fashion', 'Art', 'Museum', 'Music', 'Movies']",,,,,117
15,1,Snapchat - annesoqi Part-time homewrecker Let's party in miami like no tomorrow!,"['Comedy', 'Outdoors', 'Grab a drink', 'Travel']",,Libra,,,82
16,1,,"['Mental Health Awareness', 'Coffee', 'Working out', 'Movies', 'Foodie']",,,,,2
17,1,"super new to this, so hey! i mostly dont bite","['Music', 'Fashion', 'Travel', 'Art']",Praise God,Leo,Dog,Non-smoker,47
18,1,film major in nyc from hawaii lets go get sushi and dance in the street,"['Music', 'Dog lover', 'Vegetarian', 'Writer', 'Movies']",good 4 u,Libra,Dog,,73
